track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,duration_ms,explicit,external_url,query_genre
53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,,226073,False,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W,pop
1rIKgCH4H52lrvDcz50hS8,Lush Life,1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,5YLRVHDVRw3QqWbeTGpC5B,So Good,2017-03-17,,200646,False,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,pop
6l18mUHOGVZRr5wTyITX0M,6 DE FEBRERO,7eLcDZDYHXZCebtQmVFL25,Aitana,1lKquzZlhL5AWMHTeGej4M,CUARTO AZUL,2025-05-29,,175584,False,https://open.spotify.com/track/6l18mUHOGVZRr5wTyITX0M,pop
7aPsseax6rNFyipHn9A5CR,La Morocha,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1cNasYwHwTr9U5QFNNXd61,La Morocha,2023-07-07,,134144,False,https://open.spotify.com/track/7aPsseax6rNFyipHn9A5CR,pop
55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,5KKpBU5eC2tJDzf0wmlRp2,RAYE,01sqwTOTrN9gaYQc1rr6Zw,WHERE IS MY HUSBAND!,2025-09-19,,196795,False,https://open.spotify.com/track/55lijDD6OAjLFFUHU9tcDm,pop
4ORvXsPK9AJmDzm36BYcdy,Reliquia,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,3SUEJULSGgBDG1j4GQhfYY,LUX,2025-11-07,,230240,False,https://open.spotify.com/track/4ORvXsPK9AJmDzm36BYcdy,pop
10KB4HkYIpNOd0QhyohMre,El Principio de algo,5Q30fhTc0Sl0Q4C5dOjhhQ,La La Love You,0t2VEsrGPdJxAzPU4A6dB2,Blockbuster,2023-05-05,,147907,False,https://open.spotify.com/track/10KB4HkYIpNOd0QhyohMre,pop
3tMftGMXTPbQlmjh4FzXpZ,Me has invitado a bailar,0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,4cAjvCWbcfaDhuiJxew1Sw,La Jauría,2024-10-25,,192906,False,https://open.spotify.com/track/3tMftGMXTPbQlmjh4FzXpZ,pop
2x59pa3xDf8hHZ4N3f5fGQ,Si te vas...,3bgsNtcf5d5h9jbQbohfBK,Extremoduro,3JFryzZ2dByJ7Z2Ik2fVua,Material defectuoso,2011-05-24,,516666,False,https://open.spotify.com/track/2x59pa3xDf8hHZ4N3f5fGQ,pop
2vSJKKmOEJQA5tr082p5XX,Todos los Besos,5q3atpVIFpXkHlcOKyK0H4,Siloé,2YDFvGYKnaUcB5O84yvsvM,Santa Trinidad,2023-10-27,,267300,False,https://open.spotify.com/track/2vSJKKmOEJQA5tr082p5XX,pop
6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),00x1fYSGhdqScXBRpSj3DW,Olivia Dean,0l8zYqoUeBYg47Gmevq9HZ,The Art of Loving,2025-09-26,,169000,False,https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397,pop
12bYYQaLqHliSXvRIYlq8G,I Just Might,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,2YOfpbW6kCd2XHW2Ln2Uih,I Just Might,2026-01-09,,212973,False,https://open.spotify.com/track/12bYYQaLqHliSXvRIYlq8G,pop
4aAfLSx9IthpC3Pw5pNk3E,Como Si Fueras a Morir Mañana,5Hsv8dUHHOdnn72q4XIVz7,Leiva,1T2uKSyUf7DBWOABtsmYLM,Nuclear,2019-03-22,,240984,False,https://open.spotify.com/track/4aAfLSx9IthpC3Pw5pNk3E,pop
06qH2muOjme474WL3YKcBe,NEXO 04. Tu cuerpo en braille,6X8uzem5Dbl4l2so4CeexD,Nil Moliner,3Cg5hWe6pcktHNM7BSqzEd,NEXO 04. Tu cuerpo en braille,2025-05-09,,165887,False,https://open.spotify.com/track/06qH2muOjme474WL3YKcBe,pop
4waqcUQWdj0yH26STWl2Rq,Rosas,4U7lXyKdSf1JbM1aXvsodC,La Oreja de Van Gogh,1Atbkyir7YdfpFYWCnRTFp,Lo Que Te Conte Mientras Te Hacias La Dormida,2003,,236506,False,https://open.spotify.com/track/4waqcUQWdj0yH26STWl2Rq,pop
6vRQqxOhUFd78p5tL8jXr7,La Morocha,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,3X0T1blaMiY2aev0wrbK1G,QUE NOS FALTE TODO,2024-02-02,,134144,False,https://open.spotify.com/track/6vRQqxOhUFd78p5tL8jXr7,pop
5HSpMRUC4m3L3q48to2Kmu,So payaso,3bgsNtcf5d5h9jbQbohfBK,Extremoduro,3msSCqpQLoY0nl4RTSf1Is,Agila,1996,,281666,False,https://open.spotify.com/track/5HSpMRUC4m3L3q48to2Kmu,pop
1qbmS6ep2hbBRaEZFpn7BX,Man I Need,00x1fYSGhdqScXBRpSj3DW,Olivia Dean,0Bv6OJO0L5gcf20DMww54a,Man I Need,2025-08-15,,184000,False,https://open.spotify.com/track/1qbmS6ep2hbBRaEZFpn7BX,pop
1hbWtHgRDG25DkmxE4I28V,Puedes Contar Conmigo,4U7lXyKdSf1JbM1aXvsodC,La Oreja de Van Gogh,1Atbkyir7YdfpFYWCnRTFp,Lo Que Te Conte Mientras Te Hacias La Dormida,2003,,236786,False,https://open.spotify.com/track/1hbWtHgRDG25DkmxE4I28V,pop
3bE8SznOXJ990MK1ElQnfr,Algo Sencillito,2NeFajzkAQ4UfviWdzf0pK,Marta Santos,6JTVBic97VnhVXw7A7KFWF,Poquito a Poquito,2023-10-05,,177338,False,https://open.spotify.com/track/3bE8SznOXJ990MK1ElQnfr,pop
1PREzVLuDT6PSE9sej4wnV,COQUETA,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,5utxE1ImIDJFXRHf137hoy,MALA MÍA,2024-12-19,,241648,False,https://open.spotify.com/track/1PREzVLuDT6PSE9sej4wnV,pop
5TMLavqGRKNxgzMBrVpC9R,Mon Amour - Remix,7c53ZFyajVMTo08HmvoB6b,zzoilo,4TWsxSw8df17aja6JSaar5,Mon Amour (Remix),2021-08-18,,179940,False,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,pop
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,2012-12-07,,233478,False,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,pop
1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,12Lig9oAX9nvpWHft5cHgF,Fancy Some More?,2025-10-10,,184761,False,https://open.spotify.com/track/1DwscornXpj8fmOmYVlqZt,pop
